"Author_ID (int, a/i)","First (varchar, 150)","Initial (varchar, 100)","Last (varchar, 150)","Gender (varchar, 1)","Born (varchar, 4)","Country 1_ID (int, 3)","Country 2_ID (int, 3)","Job1_ID (int, 3)","Job2_ID (int, 3)"
1,Albert,,Einstein,M,1879,6,17,17,23
2,Alexandre,Dumas,fils,M,1824,5,0,4,18
3,Alfred,,Tennyson,M,1809,16,0,19,0
4,Allen,,Saunders,M,1899,17,0,4,5
5,Andre,,Gide,M,1869,5,0,4,0
6,Ayn,,Rand,F,1905,13,17,4,15
7,Bob,,Marley,M,1945,9,17,12,25
8,C.S.,,Lewis,M,1898,16,0,4,26
9,Charles,,Bukowski,M,1920,6,17,19,4
10,Charles,M.,Schulz,M,1922,17,0,5,0
11,Douglas,,Adams,M,1952,17,0,4,0
12,Dr.,,Seuss,M,1904,17,0,4,8
13,E.E.,,Cummings,M,1894,17,0,19,14
14,Eleanor,,Roosevelt,F,1884,17,0,7,20
15,Elie,,Wiesel,M,1928,12,17,4,20
16,Ernest,,Hemingway,M,1899,17,17,4,0
17,Friedrich,,Nietzsche,M,1884,6,6,15,0
18,Garrison,,Keillor,M,1942,17,0,4,22
19,George,Bernard,Shaw,M,1856,8,17,18,20
20,George,,Carlin,M,1937,17,0,6,1
21,George,,Eliot,F,1819,16,0,4,19
22,George,R.R.,Martin,M,1948,17,0,4,0
23,Harper,,Lee,F,1926,17,0,4,0
24,Haruki,,Murakami,M,1949,10,0,4,0
25,Helen,,Keller,F,1880,17,0,4,20
26,J.D.,,Salinger,M,1919,17,0,4,0
27,J.K.,,Rowling,F,1965,16,0,4,0
28,J.M.,,Barrie,M,1860,16,0,4,0
29,J.R.R.,,Tolkien,M,1892,14,16,4,19
30,James,,Baldwin,M,1924,17,5,4,18
31,Jane,,Austen,F,1775,16,0,4,0
32,Jim,,Henson,M,1936,17,0,21,2
33,Jimi,,Hendrix,M,1942,17,0,12,25
34,John,,Lennon,M,1940,16,17,24,25
35,Jorge,Luis,Borges,M,1899,2,15,4,19
36,Khaled,,Hosseini,M,1965,1,17,4,16
37,Madeleine,,L'Engle,F,1918,17,0,4,19
38,Marilyn,,Monroe,F,1926,17,0,1,11
39,Mark,,Twain,M,1835,17,0,4,0
40,Martin,Luther,King Jr,M,1929,17,0,20,0
41,Mother,,Teresa,F,1910,11,7,13,10
42,Pablo,,Neruda,M,1904,4,0,19,7
43,Ralph,Waldo,Emerson,M,1803,17,0,19,15
44,Stephenie,,Meyer,F,1973,17,0,4,0
45,Steve,,Martin,M,1945,17,0,1,6
46,Suzanne,,Collins,F,1962,17,0,1,0
47,Terry,,Pratchett,M,1948,16,0,4,0
48,Thomas,A.,Edison,M,1847,17,0,9,0
49,W.C.,,Fields,M,1880,17,0,1,6
50,William,,Nicholson,M,1872,16,0,3,14
51,Theodor,,Herzl,M,1869,3,0,4,20
